X Y
Точки Y, D, O и F задают четырехугольник. YD = 23 см, YO = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": YDOF}]
Определите периметр тупоугольного треугольника JNP со сторонами 74 см, 76 см и 92 см и остроугольного треугольника OUX с углами 30°, 60° и 90°	[{"type": "triangle", "name": "JNP"}, {"type": "triangle", "name": "OUX"}]
Как называется четырехугольник CWZR, у которого все углы прямые?	[{"type": "quadrilateral", "name": "CWZR"}]
Найдите периметр квадрата UYVJ со стороной 15 см.	[{"type": "square", "name": "UYVJ"}]
Найти периметр трапеции, основания которого GZ = 15 см, RB = 15 см, а высота равна 3 см.	[{"type": "trapezoid", "name": GZRB}]
В треугольнике LGA, если высота от вершины P до стороны QR равна 10 см, а площадь 40 см², найдите длину QR.	[{"type": "triangle", "name": "LGA"}]
Основания четырехугольника ZN = 17 см, QU = 6 см. Найти диагональ.	[{"type": "quadrilateral", "name": ZNQU}]
В трапеции NMQU, если ∠A = 85° и ∠B = 75°, найдите сумму оставшихся двух углов.	[{"type": "trapezoid", "name": "NMQU"}]
Основания параллелограмма PA = 21 см, LB = 19 см. Найти диагональ.	[{"type": "parallelogram", "name": PALB}]
Найдите площадь тупоугольного треугольника XWQ с углами 110°, 40° и 30°, а также равнобедренного треугольника ATI с основанием 36 см и равными сторонами 34 см	[{"type": "triangle", "name": "XWQ"}, {"type": "triangle", "name": "ATI"}]
Основания трапеции VC = 11 см, YH = 23 см. Найти диагональ.	[{"type": "trapezoid", "name": VCYH}]
Учитывая три точки A(-2, 3), B(1, 4) и C(5, -1), определите, образуют ли они правильный треугольник VWP. Если да, то классифицируйте треугольник как остроугольный, прямоугольный или тупоугольный в зависимости от его углов.	[{"type": "triangle", "name": "VWP"}]
Найти периметр четырехугольника, основания которого PJ = 12 см, FY = 16 см, а высота равна 19 см.	[{"type": "quadrilateral", "name": PJFY}]
Точки P, N, V и O задают четырехугольник. PN = 13 см, PV = 23 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": PNVO}]
Определите сумму внутренних углов остроугольного треугольника AJC с углами 45°, 60° и 75° и равностороннего треугольника IKV со стороной 22 см	[{"type": "triangle", "name": "AJC"}, {"type": "triangle", "name": "IKV"}]
Докажите, что диагонали квадрата SJLK пересекаются и делятся пополам под углом 90°.	[{"type": "square", "name": "SJLK"}]
Точки Q, L, J и M задают четырехугольник. QL = 23 см, QJ = 25 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": QLJM}]
Найти периметр квадрата, основания которого FX = 10 см, YW = 25 см, а высота равна 14 см.	[{"type": "square", "name": FXYW}]
Определите периметр тупоугольного треугольника UAX со сторонами 74 см, 76 см и 92 см и остроугольного треугольника FSL с углами 30°, 60° и 90°	[{"type": "triangle", "name": "UAX"}, {"type": "triangle", "name": "FSL"}]
Основания квадрата OR = 8 см, UJ = 23 см. Найти диагональ.	[{"type": "square", "name": ORUJ}]
Последовательность точек G, B, N и Y задаёт прямоугольник, при этом расстояние от G до B равно 13 см, а расстояние между G и N составляет 9 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": GBNY}]
Найдите длину стороны равностороннего треугольника GIL, периметр которого равен 60 см.	[{"type": "triangle", "name": "GIL"}]
Найдите периметр четырехугольника YKUO со сторонами длиной 14 см, 16 см, 18 см и 20 см.	[{"type": "quadrilateral", "name": "YKUO"}]
Основания прямоугольника SY = 3 см, TW = 16 см. Найти диагональ.	[{"type": "rectangle", "name": SYTW}]
В квадрате GKHU, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "GKHU"}]
Докажите, что противоположные стороны параллелограмма ZFLC равны.	[{"type": "parallelogram", "name": "ZFLC"}]
Определите гипотенузу остроугольного треугольника XRB с углами 45°, 60° и 75° и разностороннего треугольника LAH со сторонами 102 см, 104 см и 134 см	[{"type": "triangle", "name": "XRB"}, {"type": "triangle", "name": "LAH"}]
Точки F, H, J и C задают прямоугольник. FH = 6 см, FJ = 20 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": FHJC}]
Определите периметр прямоугольного треугольника ZOB со сторонами 42 см и 48 см и разностороннего треугольника AQY со сторонами 44 см, 46 см и 52 см	[{"type": "triangle", "name": "ZOB"}, {"type": "triangle", "name": "AQY"}]
Найти периметр параллелограмма, основания которого RQ = 7 см, SB = 9 см, а высота равна 21 см.	[{"type": "parallelogram", "name": RQSB}]
Найдите длину стороны равнобедренного треугольника CPA, периметр которого равен 36 см.	[{"type": "triangle", "name": "CPA"}]
Основания прямоугольника LV = 10 см, NT = 14 см. Найти диагональ.	[{"type": "rectangle", "name": LVNT}]
Последовательность точек M, A, Q и P задаёт прямоугольник, при этом расстояние от M до A равно 6 см, а расстояние между M и Q составляет 25 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": MAQP}]
Последовательность точек G, Q, U и S задаёт квадрат, при этом расстояние от G до Q равно 16 см, а расстояние между G и U составляет 12 см. Найти периметр данной квадрат.	[{"type": "square", "name": GQUS}]
Точки K, F, W и I задают четырехугольник. KF = 3 см, KW = 8 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": KFWI}]
В треугольнике QDS, если углы относятся как 1:2:3, найдите величину среднего угла.	[{"type": "triangle", "name": "QDS"}]
Определите, является ли треугольник YWN равносторонним, если его стороны имеют длину 3, 3 и 3√3 единицы	[{"type": "triangle", "name": "YWN"}]
Найти периметр параллелограмма, основания которого YQ = 13 см, PF = 14 см, а высота равна 5 см.	[{"type": "parallelogram", "name": YQPF}]
Найдите величину ∠C в параллелограмме ZMWG, если диагонали AC и BD пересекаются под углом 45°.	[{"type": "parallelogram", "name": "ZMWG"}]
Найдите периметр параллелограмма IMXV со сторонами длиной 13 см и 16 см.	[{"type": "parallelogram", "name": "IMXV"}]
Найдите величину ∠A в трапеции KTSX, если диагонали AC и BD пересекаются под углом 45°.	[{"type": "trapezoid", "name": "KTSX"}]
Точки E, T, L и J задают квадрат. ET = 15 см, EL = 17 см. Найти площадь данной фигуры.	[{"type": "square", "name": ETLJ}]
Найдите величину ∠A в квадрате TXFC, если диагонали AC и BD пересекаются под углом 90°.	[{"type": "square", "name": "TXFC"}]
В квадрате LUHI, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "LUHI"}]
В параллелограмме EMAY, если AB = 18 см, BC = 21 см, CD = 18 см и DA = 21 см, найдите величину ∠A.	[{"type": "parallelogram", "name": "EMAY"}]
Последовательность точек V, W, B и K задаёт прямоугольник, при этом расстояние от V до W равно 13 см, а расстояние между V и B составляет 24 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": VWBK}]
Докажите, что диагонали четырехугольника NCPE точкой пересечения делятся пополам под углом 90°.	[{"type": "quadrilateral", "name": "NCPE"}]
Найти периметр прямоугольника, основания которого HS = 8 см, EX = 24 см, а высота равна 25 см.	[{"type": "rectangle", "name": HSEX}]
Определите угол между двумя сторонами треугольника EKM длиной 5 и 12 единиц и внутренним углом 60 градусов	[{"type": "triangle", "name": "EKM"}]
Точки Y, X, E и U задают квадрат. YX = 10 см, YE = 11 см. Найти площадь данной фигуры.	[{"type": "square", "name": YXEU}]
Последовательность точек R, U, O и D задаёт четырехугольник, при этом расстояние от R до U равно 4 см, а расстояние между R и O составляет 8 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": RUOD}]
Найдите площадь четырехугольника IHXC с вершинами (0, 0), (2, 0), (2, 4) и (0, 4).	[{"type": "quadrilateral", "name": "IHXC"}]
Найдите сумму внутренних углов равностороннего треугольника GNH со стороной 30 см и прямоугольного треугольника FRU со сторонами 30 см и 40 см	[{"type": "triangle", "name": "GNH"}, {"type": "triangle", "name": "FRU"}]
Последовательность точек F, L, T и Q задаёт параллелограмм, при этом расстояние от F до L равно 19 см, а расстояние между F и T составляет 10 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": FLTQ}]
Точки C, N, V и B задают квадрат. CN = 9 см, CV = 6 см. Найти площадь данной фигуры.	[{"type": "square", "name": CNVB}]
Найдите величину ∠C в четырехугольнике CTZR, если ∠A = 55°.	[{"type": "quadrilateral", "name": "CTZR"}]
Основания трапеции IZ = 9 см, AD = 13 см. Найти диагональ.	[{"type": "trapezoid", "name": IZAD}]
Найдите длину диагонали параллелограмма TBKN, стороны которого равны 19 см и 23 см.	[{"type": "parallelogram", "name": "TBKN"}]
Как называется четырехугольник OFJM, у которого все стороны имеют одинаковую длину и все внутренние углы имеют одинаковую величину?	[{"type": "quadrilateral", "name": "OFJM"}]
Найдите длину медианы из вершины B в треугольнике WTB со сторонами длиной 5, 6 и 7 единиц и докажите, что она делит пополам медиану, проведенную из вершины C, тогда и только тогда, когда треугольник равносторонний	[{"type": "triangle", "name": "WTB"}]
Найдите периметр квадрата NGSO со стороной 20 см.	[{"type": "square", "name": "NGSO"}]
Найти периметр параллелограмма, основания которого CI = 16 см, DH = 20 см, а высота равна 25 см.	[{"type": "parallelogram", "name": CIDH}]
Как называется трапеция AVJN, у которой все стороны имеют одинаковую длину?	[{"type": "trapezoid", "name": "AVJN"}]
В квадрате VFRN, если ∠A = 90°, найдите величины оставшихся трех углов.	[{"type": "square", "name": "VFRN"}]
Докажите, что диагонали параллелограмма AOUI точкой пересечения делятся пополам под прямым углом.	[{"type": "parallelogram", "name": "AOUI"}]
Найти периметр параллелограмма, основания которого EO = 23 см, IC = 23 см, а высота равна 12 см.	[{"type": "parallelogram", "name": EOIC}]
В треугольнике MHZ, если высота от вершины P до стороны QR равна 7 см, а площадь 49 см², найдите длину QR.	[{"type": "triangle", "name": "MHZ"}]
Точки E, O, K и L задают параллелограмм. EO = 4 см, EK = 8 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": EOKL}]
Каковы углы треугольника JIG, который также является прямоугольным?	[{"type": "triangle", "name": "JIG"}]
Точки S, A, N и F задают квадрат. SA = 17 см, SN = 10 см. Найти площадь данной фигуры.	[{"type": "square", "name": SANF}]
Определите периметр тупоугольного треугольника XWP со сторонами 30 см, 32 см и 38 см и остроугольного треугольника UQY с углами 30°, 60° и 90°	[{"type": "triangle", "name": "XWP"}, {"type": "triangle", "name": "UQY"}]
Основания квадрата CY = 15 см, UW = 10 см. Найти диагональ.	[{"type": "square", "name": CYUW}]
Определите периметр тупоугольного треугольника QIF со сторонами 98 см, 100 см и 126 см и остроугольного треугольника ACS с углами 30°, 60° и 90°	[{"type": "triangle", "name": "QIF"}, {"type": "triangle", "name": "ACS"}]
Точки O, C, J и F задают параллелограмм. OC = 4 см, OJ = 3 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": OCJF}]
Основания квадрата WG = 6 см, UK = 8 см. Найти диагональ.	[{"type": "square", "name": WGUK}]
В четырехугольнике UYXS, если ∠A = 120° и ∠B = 60°, найдите величину ∠C.	[{"type": "quadrilateral", "name": "UYXS"}]
Найти периметр прямоугольника, основания которого AK = 19 см, SN = 5 см, а высота равна 17 см.	[{"type": "rectangle", "name": AKSN}]
Последовательность точек B, U, L и Y задаёт прямоугольник, при этом расстояние от B до U равно 4 см, а расстояние между B и L составляет 21 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": BULY}]
Последовательность точек Y, G, D и S задаёт трапеция, при этом расстояние от Y до G равно 21 см, а расстояние между Y и D составляет 13 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": YGDS}]
Точки O, L, C и G задают прямоугольник. OL = 24 см, OC = 16 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": OLCG}]
Основания трапеции NJ = 5 см, LQ = 2 см. Найти диагональ.	[{"type": "trapezoid", "name": NJLQ}]
Последовательность точек S, M, L и Y задаёт квадрат, при этом расстояние от S до M равно 3 см, а расстояние между S и L составляет 4 см. Найти периметр данной квадрат.	[{"type": "square", "name": SMLY}]
Как называется трапеция HSNM с двумя парами равных сторон?	[{"type": "trapezoid", "name": "HSNM"}]
Найдите периметр квадрата SAWH со стороной 10 см.	[{"type": "square", "name": "SAWH"}]
Как называется параллелограмм AHTZ, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "AHTZ"}]
Как называется четырехугольник RQKG, если AC = BD?	[{"type": "quadrilateral", "name": "RQKG"}]
Найдите площадь прямоугольного треугольника BHX с катетами 52 см и 64 см, а также равностороннего треугольника QAN со стороной 50 см	[{"type": "triangle", "name": "BHX"}, {"type": "triangle", "name": "QAN"}]
Основания трапеции BH = 18 см, LM = 15 см. Найти диагональ.	[{"type": "trapezoid", "name": BHLM}]
Вычислите длину высоты из вершины A в треугольнике WPM со сторонами длиной 3, 4 и 5 единиц и используйте ее, чтобы найти длину биссектрисы угла A	[{"type": "triangle", "name": "WPM"}]
Как называется четырехугольник FMAQ, у которого все внутренние углы равны?	[{"type": "quadrilateral", "name": "FMAQ"}]
В трапеции VQJM, если ∠A = 85° и ∠B = 75°, найдите сумму оставшихся двух углов.	[{"type": "trapezoid", "name": "VQJM"}]
Точки T, V, B и X задают трапеция. TV = 7 см, TB = 22 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": TVBX}]
Определите, является ли треугольник CNK тупым треугольником, когда его стороны имеют длину 5, 12 и 13 единиц	[{"type": "triangle", "name": "CNK"}]
Какова площадь четырехугольника FPJD, основание которого равно 18 см, а высота — 16 см?	[{"type": "quadrilateral", "name": "FPJD"}]
Как называется четырехугольник FJZK с двумя парами равных сторон?	[{"type": "quadrilateral", "name": "FJZK"}]
Найти периметр четырехугольника, основания которого JL = 3 см, DR = 20 см, а высота равна 8 см.	[{"type": "quadrilateral", "name": JLDR}]
В квадрате XRGI, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "XRGI"}]
В квадрате JZQI, если AB = BC = CD = DA, найдите меру ∠C.	[{"type": "square", "name": "JZQI"}]
Основания квадрата XL = 3 см, NT = 11 см. Найти диагональ.	[{"type": "square", "name": XLNT}]
Основания параллелограмма LB = 16 см, FX = 24 см. Найти диагональ.	[{"type": "parallelogram", "name": LBFX}]
Найдите высоту остроугольного треугольника OZL с углами 45°, 60° и 75°, а также равнобедренного треугольника BAI с основанием 40 см и равными сторонами 38 см	[{"type": "triangle", "name": "OZL"}, {"type": "triangle", "name": "BAI"}]
Найдите высоту равностороннего треугольника VZU с длиной стороны 10 единиц	[{"type": "triangle", "name": "VZU"}]
Основания прямоугольника ZI = 16 см, FG = 12 см. Найти диагональ.	[{"type": "rectangle", "name": ZIFG}]
Определите, является ли треугольник ROB прямоугольным, если гипотенуза равна 11 см, а длина одного катета 9 см.	[{"type": "triangle", "name": "ROB"}]
В квадрате RUWD, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "RUWD"}]
Как называется четырехугольник PIKM, у которого все внутренние углы равны?	[{"type": "quadrilateral", "name": "PIKM"}]
Найти периметр параллелограмма, основания которого RX = 8 см, DV = 25 см, а высота равна 2 см.	[{"type": "parallelogram", "name": RXDV}]
В четырехугольнике DMAL, если ∠A = 90°, найдите меру ∠B.	[{"type": "quadrilateral", "name": "DMAL"}]
Как называется четырехугольник TYWE, у которого все стороны одинаковой длины и все углы прямые?	[{"type": "quadrilateral", "name": "TYWE"}]
Точки R, M, X и L задают четырехугольник. RM = 20 см, RX = 20 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": RMXL}]
Основания трапеции JZ = 6 см, DO = 19 см. Найти диагональ.	[{"type": "trapezoid", "name": JZDO}]
Найдите периметр равнобедренного треугольника XJG с основанием 34 см и равными сторонами 32 см, а также тупоугольного треугольника DVM со сторонами 38 см, 40 см и 46 см	[{"type": "triangle", "name": "XJG"}, {"type": "triangle", "name": "DVM"}]
Основания четырехугольника XD = 23 см, RB = 23 см. Найти диагональ.	[{"type": "quadrilateral", "name": XDRB}]
В трапеции KVXD, если ∠A = 90°, найдите меру ∠B.	[{"type": "trapezoid", "name": "KVXD"}]
Докажите, что диагонали квадрата BRQF являются взаимно перпендикулярными биссектрисами.	[{"type": "square", "name": "BRQF"}]
Найдите сумму внутренних углов разностороннего треугольника BFA со сторонами 35 см, 37 см и 40 см, а также равнобедренного треугольника ZMJ с основанием 30 см и равными сторонами 28 см	[{"type": "triangle", "name": "BFA"}, {"type": "triangle", "name": "ZMJ"}]
Как называется параллелограмм XMNW, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "XMNW"}]
Вычислите площадь треугольника TEC, если стороны равны 4 см, 5 см и 7 см.	[{"type": "triangle", "name": "TEC"}]
Найти периметр параллелограмма, основания которого TA = 22 см, XS = 16 см, а высота равна 24 см.	[{"type": "parallelogram", "name": TAXS}]
Найдите площадь четырехугольника AUTE, основание которого равно 10 см, а высота — 8 см.	[{"type": "quadrilateral", "name": "AUTE"}]
Найдите площадь параллелограмма VQCO, основание которого равно 9 см, а высота — 7 см.	[{"type": "parallelogram", "name": "VQCO"}]
Найти периметр параллелограмма, основания которого BX = 13 см, RM = 12 см, а высота равна 6 см.	[{"type": "parallelogram", "name": BXRM}]
Как называется четырехугольник FUDW, если AB = CD и AD ≠ BC?	[{"type": "quadrilateral", "name": "FUDW"}]
Докажите, что противоположные стороны трапеции KJOV не обязательно параллельны.	[{"type": "trapezoid", "name": "KJOV"}]
Найдите периметр трапеции HQKZ, основания которой равны 20 см и 25 см, а высота — 16 см.	[{"type": "trapezoid", "name": "HQKZ"}]
Последовательность точек M, Q, P и V задаёт трапеция, при этом расстояние от M до Q равно 3 см, а расстояние между M и P составляет 10 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": MQPV}]
В квадрате DSBC, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "DSBC"}]
Найдите площадь параллелограмма CAZY с вершинами в точках (0, 0), (5, 0), (5, 8) и (0, 8).	[{"type": "parallelogram", "name": "CAZY"}]
Точки U, H, T и W задают параллелограмм. UH = 18 см, UT = 10 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": UHTW}]
Как называется трапеция AWOB с двумя парами равных сторон?	[{"type": "trapezoid", "name": "AWOB"}]
Основания трапеции ZS = 3 см, OH = 2 см. Найти диагональ.	[{"type": "trapezoid", "name": ZSOH}]
Определите периметр прямоугольного треугольника ZUX со сторонами 22 см и 24 см и разностороннего треугольника GQS со сторонами 24 см, 26 см и 30 см	[{"type": "triangle", "name": "ZUX"}, {"type": "triangle", "name": "GQS"}]
Как называется четырёхугольник XJYR, у которого все углы прямые и все стороны разной длины?	[{"type": "quadrilateral", "name": "XJYR"}]
Найдите высоту остроугольного треугольника CZG с углами 45°, 60° и 75°, а также равнобедренного треугольника XYE с основанием 60 см и равными сторонами 58 см	[{"type": "triangle", "name": "CZG"}, {"type": "triangle", "name": "XYE"}]
Найдите периметр равнобедренного треугольника ZJI с основанием 9 см и равными сторонами 7 см, а также остроугольного треугольника BRA с углами 30°, 60° и 90°	[{"type": "triangle", "name": "ZJI"}, {"type": "triangle", "name": "BRA"}]
Найдите периметр трапеции YVNI, основания которой равны 12 см и 15 см, а высота 10 см.	[{"type": "trapezoid", "name": "YVNI"}]
Найдите периметр параллелограмма RMGJ, стороны которого равны 7 см и 9 см.	[{"type": "parallelogram", "name": "RMGJ"}]
Вычислите длину медиан треугольника IOU со сторонами длиной 5, 6 и 7 единиц	[{"type": "triangle", "name": "IOU"}]
В квадрате CRMK, если ∠A = 90°, найдите величины оставшихся трех углов.	[{"type": "square", "name": "CRMK"}]
Найдите длину диагонали квадрата RSXM со стороной 55 см.	[{"type": "square", "name": "RSXM"}]
Найдите длину диагонали параллелограмма VMHD, стороны которого равны 16 см и 20 см.	[{"type": "parallelogram", "name": "VMHD"}]
Найдите площадь трапеции SEIM с вершинами в точках (0, 0), (10, 0), (12, 15) и (0, 15)	[{"type": "trapezoid", "name": "SEIM"}]
Найдите площадь трапеции EJQS с вершинами в точках (0, 0), (8, 0), (10, 12) и (0, 12).	[{"type": "trapezoid", "name": "EJQS"}]
Докажите, что диагонали квадрата LSFX пересекаются и делятся пополам под углом 90°.	[{"type": "square", "name": "LSFX"}]
Последовательность точек C, N, U и X задаёт квадрат, при этом расстояние от C до N равно 25 см, а расстояние между C и U составляет 7 см. Найти периметр данной квадрат.	[{"type": "square", "name": CNUX}]
Найдите площадь трапеции OJVP с вершинами в точках (0, 0), (15, 0), (18, 20) и (0, 20).	[{"type": "trapezoid", "name": "OJVP"}]
Как называется трапеция GMOY, у которой все стороны имеют одинаковую длину?	[{"type": "trapezoid", "name": "GMOY"}]
Основания параллелограмма GU = 4 см, CS = 5 см. Найти диагональ.	[{"type": "parallelogram", "name": GUCS}]
Основания четырехугольника FU = 23 см, AS = 8 см. Найти диагональ.	[{"type": "quadrilateral", "name": FUAS}]
Найдите длину диагонали квадрата TQRP со стороной 20 см.	[{"type": "square", "name": "TQRP"}]
Найдите периметр четырехугольника YGPR со сторонами длиной 14 см, 16 см, 18 см и 20 см.	[{"type": "quadrilateral", "name": "YGPR"}]
Основания прямоугольника FC = 5 см, DP = 14 см. Найти диагональ.	[{"type": "rectangle", "name": FCDP}]
Докажите, что диагонали трапеции VLOE пересекаются под углом 90°.	[{"type": "trapezoid", "name": "VLOE"}]
В квадрате IHGY, если ∠A = 90°, найдите меру ∠D.	[{"type": "square", "name": "IHGY"}]
Точки Z, O, J и V задают параллелограмм. ZO = 13 см, ZJ = 13 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": ZOJV}]
Найти периметр прямоугольника, основания которого PL = 6 см, IU = 3 см, а высота равна 6 см.	[{"type": "rectangle", "name": PLIU}]
Найдите недостающую величину угла в HYO равностороннего треугольника.	[{"type": "triangle", "name": "HYO"}]
Найдите величину ∠B в трапеции ZSKJ, если ∠A = 90°.	[{"type": "trapezoid", "name": "ZSKJ"}]
В трапеции LQWM, если ∠A = 80° и ∠B = 70°, найдите сумму оставшихся двух углов.	[{"type": "trapezoid", "name": "LQWM"}]
Найти периметр квадрата, основания которого TH = 14 см, OE = 5 см, а высота равна 10 см.	[{"type": "square", "name": THOE}]
Как называется четырехугольник OBJG с двумя парами равных сторон?	[{"type": "quadrilateral", "name": "OBJG"}]
Найдите площадь треугольника MQD, если стороны равны 8 см, 10 см и 12 см.	[{"type": "triangle", "name": "MQD"}]
Докажите, что противолежащие углы параллелограмма MWDK являются дополнительными.	[{"type": "parallelogram", "name": "MWDK"}]
Докажите, что диагонали квадрата EKGB пересекаются и делятся пополам под углом 90°.	[{"type": "square", "name": "EKGB"}]
Найдите площадь прямоугольного треугольника WSV с катетами 76 см и 94 см, а также равностороннего треугольника DFR со стороной 74 см	[{"type": "triangle", "name": "WSV"}, {"type": "triangle", "name": "DFR"}]
Основания параллелограмма IN = 17 см, ZG = 6 см. Найти диагональ.	[{"type": "parallelogram", "name": INZG}]
В параллелограмме AHKN, если ∠A = 75°, найдите величину ∠B.	[{"type": "parallelogram", "name": "AHKN"}]
Найти периметр квадрата, основания которого TA = 14 см, UO = 2 см, а высота равна 17 см.	[{"type": "square", "name": TAUO}]
Найдите длину диагонали четырехугольника GTOY со сторонами 4 см, 6 см и 8 см.	[{"type": "quadrilateral", "name": "GTOY"}]
Последовательность точек N, Y, K и P задаёт прямоугольник, при этом расстояние от N до Y равно 6 см, а расстояние между N и K составляет 16 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": NYKP}]
Точки M, H, T и Z задают параллелограмм. MH = 20 см, MT = 18 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": MHTZ}]
Как называется четырехугольник AZPG, если AB = CD и AD = BC?	[{"type": "quadrilateral", "name": "AZPG"}]
Найдите площадь трапеции IYOJ, основания которой равны 25 см и 28 см, а высота 20 см.	[{"type": "trapezoid", "name": "IYOJ"}]
Найдите площадь трапеции JAEY, основания которой равны 12 см и 15 см, а высота 10 см.	[{"type": "trapezoid", "name": "JAEY"}]
Последовательность точек Z, D, E и M задаёт трапеция, при этом расстояние от Z до D равно 12 см, а расстояние между Z и E составляет 5 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": ZDEM}]
Найдите величину ∠C в трапеции LBVT, если ∠A = 60°.	[{"type": "trapezoid", "name": "LBVT"}]
Как называется четырехугольник VDYU, если диагонали AC и BD пересекаются под углом 90°?	[{"type": "quadrilateral", "name": "VDYU"}]
Найдите периметр треугольника ECG, если его стороны равны х см, х+3 см и 2х-1 см.	[{"type": "triangle", "name": "ECG"}]
Докажите, что диагонали четырехугольника CPZO точкой пересечения делятся пополам тогда и только тогда, когда четырехугольник является параллелограммом.	[{"type": "quadrilateral", "name": "CPZO"}]
Последовательность точек D, Y, L и W задаёт прямоугольник, при этом расстояние от D до Y равно 12 см, а расстояние между D и L составляет 6 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": DYLW}]
Найти периметр трапеции, основания которого DS = 22 см, UK = 22 см, а высота равна 17 см.	[{"type": "trapezoid", "name": DSUK}]
Найдите длину медианы из вершины C в треугольнике FKA со сторонами длиной 3, 4 и 5 единиц и докажите, что она является высотой треугольника тогда и только тогда, когда это равнобедренный треугольник	[{"type": "triangle", "name": "FKA"}]
Как называется четырехугольник FOMK, если AB = CD и AD = BC?	[{"type": "quadrilateral", "name": "FOMK"}]
Точки A, D, T и H задают четырехугольник. AD = 21 см, AT = 24 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": ADTH}]
Основания четырехугольника GZ = 17 см, XC = 19 см. Найти диагональ.	[{"type": "quadrilateral", "name": GZXC}]
Точки I, N, G и R задают прямоугольник. IN = 13 см, IG = 15 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": INGR}]
Определите периметр тупоугольного треугольника TCJ со сторонами 98 см, 100 см и 126 см и остроугольного треугольника LGR с углами 30°, 60° и 90°	[{"type": "triangle", "name": "TCJ"}, {"type": "triangle", "name": "LGR"}]
Последовательность точек G, Z, T и C задаёт четырехугольник, при этом расстояние от G до Z равно 11 см, а расстояние между G и T составляет 14 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": GZTC}]
Найдите площадь квадрата DQNV со стороной 50 см.	[{"type": "square", "name": "DQNV"}]
Как называется параллелограмм RXKV, у которого все стороны имеют одинаковую длину?	[{"type": "parallelogram", "name": "RXKV"}]
Последовательность точек P, O, U и X задаёт параллелограмм, при этом расстояние от P до O равно 18 см, а расстояние между P и U составляет 9 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": POUX}]
Докажите, что диагонали трапеции OEBJ пересекаются под углом 90°.	[{"type": "trapezoid", "name": "OEBJ"}]
Найдите периметр квадрата IQTE со стороной 60 см.	[{"type": "square", "name": "IQTE"}]
Определите гипотенузу прямоугольного треугольника MGF с катетами 72 см и 86 см и тупоугольного треугольника OPW с углами 120°, 40° и 20°	[{"type": "triangle", "name": "MGF"}, {"type": "triangle", "name": "OPW"}]
В квадрате AKQO, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "AKQO"}]
Найдите периметр трапеции LCQG, основания которой равны 25 см и 28 см, а высота 20 см.	[{"type": "trapezoid", "name": "LCQG"}]
В квадрате OKET, если AB = BC = CD = DA, найдите меру ∠A.	[{"type": "square", "name": "OKET"}]
Точки F, Y, U и P задают параллелограмм. FY = 22 см, FU = 7 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": FYUP}]
Основания четырехугольника DS = 12 см, NY = 12 см. Найти диагональ.	[{"type": "quadrilateral", "name": DSNY}]
Вычислите высоту разностороннего треугольника UXG со сторонами 76 см, 78 см и 94 см, а также равнобедренного треугольника APE с основанием 64 см и равными сторонами 62 см	[{"type": "triangle", "name": "UXG"}, {"type": "triangle", "name": "APE"}]
Вычислите недостающую величину угла в треугольнике HFE, если два угла равны и каждый равен 40°.	[{"type": "triangle", "name": "HFE"}]
В треугольнике DCI, если высота от вершины P до стороны QR равна 3 см, а площадь 9 см², найдите длину QR.	[{"type": "triangle", "name": "DCI"}]
